"country","year","participare_social_media","daily_internet_use","venit_mediu_gospodarie","gini","educatie_superioara","abilitati_digitale","nivel_acces_internet","nefolosire_internet"
"ES",2021,64.66,85.83,32914.2066938122,0.319556951522827,40.4,64.16,95.92,4.86
"ES",2022,63.22,87.11,37442.6935328546,0.31567108631134,40.7,NA,96.08,4.47
"FI",2017,66.01,87.19,31558.7754505818,0.26634,43.7,75.55,94.42,5.06
"FI",2018,66.94,87.93,32732.0260348364,0.26886,44.5,NA,94.28,4.44
"FI",2019,66.68,89.82,34474.2544555738,0.27289,46,76.47,94.36,3.22
"FI",2020,75.07,91.94,34812.0985474252,0.265,47.5,NA,96,1.62
"FI",2021,75.11,92.54,36643.8870771494,0.27344,42.3,79.18,96.56,2.01
"FI",2022,75.68,91.71,39929.1047111346,0.27354,42.7,NA,97.59,1.9
"FR",2017,42.81,70.25,NA,NA,35.3,57.13,86.41,9.97
"FR",2018,41.92,75.24,NA,NA,36.9,NA,88.56,7.78
"FR",2019,42.32,77.32,NA,NA,38,57.3,90.17,6.68
"FR",2020,NA,NA,35398.7657250379,0.278,39.7,NA,NA,NA
"FR",2021,44.83,77.69,36531.5019984135,0.298,40.7,61.96,93.33,4.85
"FR",2022,44.5,82.46,40964.2805391259,0.297,41.6,NA,92.25,5.88
"HR",2017,47.25,57.51,16993.3436259367,0.297252625226974,23.7,40.92,76.45,28.38
"HR",2018,53.93,66.1,18311.4715797895,0.293326139450073,25.2,NA,81.52,21.37
"HR",2019,57.88,71.39,20090.987056488,0.284315228462219,25.2,53.35,80.52,18.31
"HR",2020,57.17,73.66,20958.4690445253,0.291073143482208,25.5,NA,85,17.2
"HR",2021,60.89,76.34,23516.6014789919,0.287673950195313,25.6,63.37,86.09,14.91
"HR",2022,60.14,76.89,26156.3631302782,0.298391580581665,26.1,NA,85.52,13.41
"HU",2017,64.57,68.68,13852.9559458969,0.2890664935112,24.1,49.59,82.35,17.04
"HU",2018,65.32,68.69,NA,NA,25,NA,83.31,16.13
"HU",2019,68.86,75.21,NA,NA,25.9,48.68,86.2,14.25
"HU",2020,73.99,78.58,NA,NA,27.1,NA,87.63,12.46
"HU",2021,77.24,82.29,NA,NA,29.3,49.09,90.78,9.93
"HU",2022,78.54,85,NA,NA,29.4,NA,91.44,9.54
"IE",2017,58.86,70.18,32545.4860437953,0.294805109500885,46.5,47.64,88.37,15.85
"IE",2018,60.13,73.84,33313.9454618606,0.285451322793961,46.9,NA,89.11,15.5
"IE",2019,63.58,82.51,35823.5739491991,0.283126682043076,47.3,53.38,90.59,8.65
"IE",2020,60.55,83.72,36672.2471845348,0.282219707965851,49.9,NA,91.82,5.75
"IE",2021,69.06,94.65,40470.1550595223,0.284376472234726,52.9,70.49,97.5,0.07
"IE",2022,72.07,89.8,44290.6193413882,0.284687966108322,53.7,NA,NA,6.93
"IS",2017,89.46,95.78,37952.1339833727,0.249608919024467,42.5,85.4,97.86,1.15
"IS",2018,90.87,96.09,37374.1198739655,0.244116246700287,43.8,NA,99.18,0.6
"IS",2019,91.65,96.97,38731.269566298,0.246794939041138,45.2,85.37,97.7,0.43
"IS",2020,93.82,97.64,NA,NA,43.7,NA,98.48,0.47
"IS",2021,92.98,97.71,NA,NA,42.6,80.99,98.36,0.31
"IS",2022,NA,NA,NA,NA,42.9,NA,NA,NA
"IT",2017,43.36,68,27614.2808683788,0.334411919116974,18.7,NA,81.02,22.32
"IT",2018,46.48,71.49,28642.1864407537,0.329714626073837,19.4,NA,84.34,18.62
"IT",2019,42.3,72.79,31598.1472650636,0.32523450255394,19.7,41.51,85.17,16.83
"IT",2020,48.42,75.58,31839.1722376442,0.330603748559952,20,NA,88.1,14.23
"IT",2021,50.19,78.93,34064.6739437377,0.32968682050705,20,45.6,90.49,11.25
"IT",2022,53.19,81.93,38512.7222698828,0.319206804037094,20.3,NA,91.45,9.88
"JP",2018,NA,NA,24877.8074301714,0.334,NA,NA,NA,NA
"JP",2021,NA,NA,26862.9501964399,0.338,NA,NA,NA,NA
"KR",2017,NA,NA,31580.2927093006,0.351999998092651,NA,NA,NA,NA
"KR",2018,NA,NA,32987.8722266526,0.342000007629395,NA,NA,NA,NA
"KR",2019,NA,NA,34010.8522639315,0.335999995470047,NA,NA,NA,NA
"KR",2020,NA,NA,35883.4176744226,0.328000009059906,NA,NA,NA,NA
"KR",2021,NA,NA,38564.4685547911,0.328999996185303,NA,NA,NA,NA
"KR",2022,NA,NA,43539.8759229384,0.324000000953674,NA,NA,NA,NA
"LT",2017,53.55,63.8,18873.3619742318,0.37365984916687,40.3,54.78,74.97,19.29
"LT",2018,57.95,68.19,20599.7237179178,0.361180871725082,41.7,NA,78.38,16.54
"LT",2019,60.57,72.6,23995.2398624011,0.35703256726265,43.1,56.15,81.52,15.11
"LT",2020,61.45,74.34,26589.5483488207,0.356571286916733,44.1,NA,82.13,13.53
"LT",2021,65.19,77.88,27861.2245324784,0.36640477180481,45.4,48.84,86.55,10.71
"LT",2022,67.3,82.3,28527.8442072146,0.359952598810196,46.5,NA,87.71,9.75
